Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_storage::Arena::allocation(std::shared_ptr<mlx::tensor_model::Storage> const&) const
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::PhysicalMux::ready(unsigned long) const
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::PhysicalMux::response(unsigned long) const
  0.00      2.73     0.00   152592     0.00     0.00  mlx::model_io::QueuedPhysicalPort::presented_request() const
  0.00      2.73     0.00   148480     0.00     0.00  mlx::matrix_schedule::Simulator::Impl::dma_event(char const*, mlx::matrix_schedule::(anonymous namespace)::PendingDMA const&)
  0.00      2.73     0.00    82944     0.00     0.00  mlx::shared_array::Resources::claim_issue(mlx::shared_array::Lease const&)
  0.00      2.73     0.00    82816     0.00     0.00  mlx::shared_array::Resources::claim_writeback(mlx::shared_array::Lease const&)
  0.00      2.73     0.00    82112     0.00     0.00  mlx::matrix_schedule::Simulator::Impl::evaluate(mlx::matrix_schedule::(anonymous namespace)::Context&, mlx::matrix_schedule::(anonymous namespace)::Instruction const&)
  0.00      2.73     0.00    81728     0.00     0.00  mlx::control_schedule::Simulator::done() const
  0.00      2.73     0.00    40864     0.00     0.00  mlx::control_schedule::Simulator::Impl::step()
  0.00      2.73     0.00    40864     0.00     0.00  mlx::control_schedule::Simulator::tick()
  0.00      2.73     0.00    37888     0.00     0.00  mlx::tagged::float_to_half(float)
  0.00      2.73     0.00    34880     0.00     0.00  mlx::tensor_model::scalar(Json::Value const&)
  0.00      2.73     0.00    34816     0.00     0.00  mlx::tensor_model::Tensor::set_number(unsigned long, float)
  0.00      2.73     0.00    25365     0.00     0.00  std::pair<std::_Rb_tree_iterator<unsigned int>, bool> std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_M_insert_unique<unsigned int const&>(unsigned int const&)
  0.00      2.73     0.00    24640     0.00     0.00  mlx::matrix_schedule::Simulator::Impl::complete_instruction(mlx::matrix_schedule::(anonymous namespace)::PendingInstruction&, char const*)
  0.00      2.73     0.00    24640     0.00     0.00  mlx::matrix_schedule::Simulator::Impl::validate(mlx::matrix_schedule::(anonymous namespace)::Owner const&)
  0.00      2.73     0.00    24448     0.00     0.00  mlx::control_model::RV64::run(Json::Value const&)
  0.00      2.73     0.00    12216     0.00     0.00  mlx::control_schedule::Leaf::step()
  0.00      2.73     0.00     7061     0.00     0.00  mlx::vector_schedule::Simulator::Impl::validate(mlx::vector_schedule::(anonymous namespace)::Owner const&)
  0.00      2.73     0.00     6214     0.00     0.00  mlx::vector_schedule::Simulator::Impl::event(char const*, unsigned int, char const*, unsigned int, unsigned int)
  0.00      2.73     0.00     4311     0.00     0.00  mlx::tensor_model::element_bytes(mlx::tensor_model::DType)
  0.00      2.73     0.00     4096     0.00     0.00  mlx::vector_schedule::Simulator::Impl::memory_event(char const*, mlx::vector_schedule::(anonymous namespace)::PendingMemory const&, unsigned long)
  0.00      2.73     0.00     3060     0.00     0.00  mlx::control_schedule::Leaf::begin(Json::Value const&)
  0.00      2.73     0.00     2064     0.00     0.00  mlx::control_schedule::Simulator::Impl::event(char const*, mlx::model_io::Request const*)
  0.00      2.73     0.00     2048     0.00     0.00  mlx::vector_schedule::Simulator::Impl::request(unsigned int)
  0.00      2.73     0.00     2048     0.00     0.00  mlx::tagged::half_to_float(unsigned short)
  0.00      2.73     0.00     1024     0.00     0.00  mlx::control_model::RV64::set_float(unsigned int, float)
  0.00      2.73     0.00     1024     0.00     0.00  mlx::tensor_model::Tensor::number(unsigned long) const
  0.00      2.73     0.00     1016     0.00     0.00  mlx::control_schedule::Simulator::Impl::begin(char const*)
  0.00      2.73     0.00      832     0.00     0.00  mlx::vector_schedule::Simulator::Impl::advance(unsigned int)
  0.00      2.73     0.00      832     0.00     0.00  mlx::vector_schedule::Simulator::Impl::complete(mlx::vector_schedule::(anonymous namespace)::Pending&, char const*)
  0.00      2.73     0.00      832     0.00     0.00  mlx::vector_schedule::Simulator::Impl::evaluate(mlx::vector_schedule::(anonymous namespace)::Context&, mlx::vector_schedule::(anonymous namespace)::Instruction const&, unsigned int)
  0.00      2.73     0.00      192     0.00     0.00  mlx::shared_array::Resources::invariant()
  0.00      2.73     0.00      136     0.00     0.00  void mlx::tensor_model::Assets::load(Json::Value const&)::{lambda(auto:1&&, Json::Value const&)#1}::operator()<{lambda(auto:1&&, Json::Value const&)#1}&>({lambda(auto:1&&, Json::Value const&)#1}&, Json::Value const&) const
