Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.11     53.27     0.09                             VTestHarness::_sequent__TOP__191(VTestHarness__Syms*)
  0.11     53.36     0.09                             VTestHarness::_sequent__TOP__3864(VTestHarness__Syms*)
  0.11     53.45     0.09                             VTestHarness::_sequent__TOP__1456(VTestHarness__Syms*)
  0.11     53.53     0.09                             VTestHarness::_sequent__TOP__2093(VTestHarness__Syms*)
  0.11     53.62     0.09                             VTestHarness::_sequent__TOP__3853(VTestHarness__Syms*)
  0.10     53.70     0.08                             VTestHarness::__Vdpiimwrap_TestHarness__DOT__chiptop__DOT__system__DOT__tile_prci_domain__DOT__tile_reset_domain__DOT__tile__DOT__mlx__DOT__box__DOT__mlx_clocked_rocc_eval_TOP(unsigned long, unsigned long, unsigned char, unsigned int, unsigned char, unsigned char&, unsigned char&, unsigned int&, unsigned long&, unsigned char&, unsigned char&, unsigned char&, unsigned long&, unsigned long&, unsigned int&, unsigned int&, unsigned int&, unsigned int&)
  0.10     53.77     0.08                             VTestHarness::_settle__TOP__298(VTestHarness__Syms*)
  0.10     53.85     0.08                             VTestHarness::_sequent__TOP__2332(VTestHarness__Syms*)
  0.10     53.94     0.08                             VTestHarness::_sequent__TOP__3047(VTestHarness__Syms*)
  0.10     54.02     0.08                             VTestHarness::_sequent__TOP__3462(VTestHarness__Syms*)
  0.10     54.09     0.08                             VTestHarness::_sequent__TOP__3858(VTestHarness__Syms*)
  0.09     54.17     0.07                             VTestHarness::_sequent__TOP__2717(VTestHarness__Syms*)
  0.09     54.24     0.07                             VTestHarness::_settle__TOP__1222(VTestHarness__Syms*)
  0.09     54.31     0.07                             VTestHarness::_sequent__TOP__2052(VTestHarness__Syms*)
  0.09     54.38     0.07                             VTestHarness::_sequent__TOP__2053(VTestHarness__Syms*)
  0.09     54.45     0.07                             VTestHarness::_sequent__TOP__2468(VTestHarness__Syms*)
  0.09     54.52     0.07                             VTestHarness::_sequent__TOP__2652(VTestHarness__Syms*)
  0.09     54.59     0.07                             VTestHarness::_sequent__TOP__3442(VTestHarness__Syms*)
  0.09     54.66     0.07                             VTestHarness::_multiclk__TOP__3904(VTestHarness__Syms*)
  0.08     54.73     0.07                             VTestHarness::_settle__TOP__1185(VTestHarness__Syms*)
  0.08     54.79     0.07                             VTestHarness::_sequent__TOP__2328(VTestHarness__Syms*)
  0.08     54.85     0.07                             VTestHarness::_sequent__TOP__3528(VTestHarness__Syms*)
  0.07     54.91     0.06                             VTestHarness::_sequent__TOP__187(VTestHarness__Syms*)
  0.07     54.98     0.06                             VTestHarness::_sequent__TOP__195(VTestHarness__Syms*)
  0.07     55.03     0.06                             VTestHarness::_settle__TOP__1195(VTestHarness__Syms*)
  0.07     55.09     0.06                             VTestHarness::_settle__TOP__1277(VTestHarness__Syms*)
  0.07     55.16     0.06                             VTestHarness::_sequent__TOP__1949(VTestHarness__Syms*)
  0.07     55.22     0.06                             VTestHarness::_sequent__TOP__2032(VTestHarness__Syms*)
  0.07     55.27     0.06                             VTestHarness::_sequent__TOP__2351(VTestHarness__Syms*)
  0.07     55.34     0.06                             VTestHarness::_sequent__TOP__2391(VTestHarness__Syms*)
  0.07     55.40     0.06                             VTestHarness::_sequent__TOP__3005(VTestHarness__Syms*)
  0.07     55.45     0.06                             VTestHarness::_sequent__TOP__3048(VTestHarness__Syms*)
  0.07     55.52     0.06                             VTestHarness::_sequent__TOP__3257(VTestHarness__Syms*)
  0.07     55.58     0.06                             VTestHarness::_sequent__TOP__3440(VTestHarness__Syms*)
  0.07     55.63     0.06                             VTestHarness::_sequent__TOP__2556(VTestHarness__Syms*)
  0.07     55.69     0.06                             VTestHarness::_sequent__TOP__3193(VTestHarness__Syms*)
  0.07     55.74     0.06                             VTestHarness::_sequent__TOP__3368(VTestHarness__Syms*)
  0.07     55.80     0.06                             VTestHarness::_sequent__TOP__3491(VTestHarness__Syms*)
  0.07     55.85     0.06                             VTestHarness::_sequent__TOP__3763(VTestHarness__Syms*)
  0.07     55.91     0.06                             VTestHarness::_sequent__TOP__3865(VTestHarness__Syms*)
  0.06     55.95     0.05                             VTestHarness::_settle__TOP__683(VTestHarness__Syms*)
  0.06     56.01     0.05                             VTestHarness::_settle__TOP__729(VTestHarness__Syms*)
  0.06     56.05     0.05                             VTestHarness::_settle__TOP__794(VTestHarness__Syms*)
  0.06     56.10     0.05                             VTestHarness::_sequent__TOP__123(VTestHarness__Syms*)
  0.06     56.16     0.05                             VTestHarness::_sequent__TOP__142(VTestHarness__Syms*)
  0.06     56.20     0.05                             VTestHarness::_settle__TOP__1165(VTestHarness__Syms*)
  0.06     56.26     0.05                             VTestHarness::_settle__TOP__1212(VTestHarness__Syms*)
  0.06     56.30     0.05                             VTestHarness::_settle__TOP__1246(VTestHarness__Syms*)
  0.06     56.35     0.05                             VTestHarness::_settle__TOP__1282(VTestHarness__Syms*)
  0.06     56.41     0.05                             VTestHarness::_settle__TOP__1299(VTestHarness__Syms*)
  0.06     56.45     0.05                             VTestHarness::_sequent__TOP__1941(VTestHarness__Syms*)
  0.06     56.51     0.05                             VTestHarness::_sequent__TOP__1992(VTestHarness__Syms*)
  0.06     56.55     0.05                             VTestHarness::_sequent__TOP__2046(VTestHarness__Syms*)
  0.06     56.60     0.05                             VTestHarness::_sequent__TOP__2117(VTestHarness__Syms*)
  0.06     56.66     0.05                             VTestHarness::_sequent__TOP__2185(VTestHarness__Syms*)
  0.06     56.70     0.05                             VTestHarness::_sequent__TOP__2292(VTestHarness__Syms*)
  0.06     56.76     0.05                             VTestHarness::_sequent__TOP__2298(VTestHarness__Syms*)
  0.06     56.80     0.05                             VTestHarness::_sequent__TOP__2363(VTestHarness__Syms*)
  0.06     56.85     0.05                             VTestHarness::_sequent__TOP__2515(VTestHarness__Syms*)
  0.06     56.91     0.05                             VTestHarness::_sequent__TOP__2583(VTestHarness__Syms*)
  0.06     56.95     0.05                             VTestHarness::_sequent__TOP__2596(VTestHarness__Syms*)
  0.06     57.01     0.05                             VTestHarness::_sequent__TOP__2632(VTestHarness__Syms*)
  0.06     57.05     0.05                             VTestHarness::_sequent__TOP__2873(VTestHarness__Syms*)
  0.06     57.10     0.05                             VTestHarness::_sequent__TOP__2923(VTestHarness__Syms*)
  0.06     57.16     0.05                             VTestHarness::_sequent__TOP__3069(VTestHarness__Syms*)
  0.06     57.20     0.05                             VTestHarness::_sequent__TOP__3096(VTestHarness__Syms*)
  0.06     57.26     0.05                             VTestHarness::_sequent__TOP__3110(VTestHarness__Syms*)
